,Quarter,Tm,Detail,SDG,DEN
0,2.0,Chargers,John Carney 30 yard field goal,3,0
1,2.0,Broncos,Mike Young 25 yard pass from John Elway (David Treadwell kick),3,7
2,3.0,Broncos,Mike Young 3 yard pass from John Elway (David Treadwell kick),3,14
3,4.0,Broncos,David Treadwell 49 yard field goal,3,17
4,4.0,Chargers,Craig McEwen 22 yard pass from Billy Joe Tolliver (John Carney kick),10,17
5,4.0,Broncos,David Treadwell 26 yard field goal,10,20
