,Quarter,Tm,Detail,IND,SDG
0,2.0,Chargers,"Safety, Grossman tackled George in end zone",0,2
1,2.0,Chargers,John Carney 33 yard field goal,0,5
2,3.0,Chargers,Nate Lewis 17 yard pass from Stan Humphries (John Carney kick),0,12
3,3.0,Chargers,Nate Lewis 9 yard pass from Stan Humphries (John Carney kick),0,19
4,4.0,Chargers,Marion Butts 3 yard rush (John Carney kick),0,26
