,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Tim Mazzetti 40 yard field goal,3,0
1,2.0,49ers,Ray Wersching 47 yard field goal,3,3
2,3.0,Falcons,Tim Mazzetti 23 yard field goal,6,3
3,4.0,Falcons,Alfred Jackson 10 yard pass from Steve Bartkowski (Tim Mazzetti kick),13,3
4,4.0,Falcons,Lynn Cain 2 yard rush (Tim Mazzetti kick),20,3
5,4.0,49ers,Freddie Solomon 93 yard pass from Steve DeBerg (Ray Wersching kick),20,10
6,4.0,49ers,Earl Cooper 27 yard pass from Steve DeBerg (Ray Wersching kick),20,17
