,Quarter,Tm,Detail,PHI,BKN
0,1.0,Dodgers,Pug Manders 1 yard rush (Ralph Kercheval kick),0,7
1,2.0,Eagles,Fran Murray 1 yard rush (Hank Reese kick),7,7
2,3.0,Dodgers,Ralph Kercheval 44 yard field goal,7,10
3,3.0,Dodgers,Perry Schwartz 47 yard pass from Ace Parker (Bruiser Kinard kick),7,17
4,4.0,Dodgers,Ralph Kercheval 38 yard field goal,7,20
5,4.0,Dodgers,Ralph Kercheval 45 yard field goal,7,23
6,4.0,Eagles,Bill Hewitt 22 yard pass from Davey O'Brien (Fran Murray kick),14,23
