,Quarter,Tm,Detail,DET,WAS
0,3.0,Redskins,Mark Moseley 42 yard field goal,0,3
1,3.0,Redskins,Frank Grant 8 yard pass from Joe Theismann (Mark Moseley kick),0,10
2,4.0,Redskins,Mike Thomas 3 yard rush (Mark Moseley kick),0,17
3,4.0,Redskins,Mark Moseley 45 yard field goal,0,20
4,4.0,Lions,Ray Jarvis 56 yard pass from Joe Reed (Errol Mann kick),7,20
