,Quarter,Tm,Detail,PRV,FRN
0,1.0,Yellow Jackets,Ken Mercer 10 yard rush (Ken Mercer kick),0,7
1,2.0,Steam Roller,Jimmy Conzelman 18 yard pass from Wildcat Wilson (Bill Pritchard kick),7,7
2,2.0,Steam Roller,Wildcat Wilson 10 yard rush (Gus Sonnenberg kick),14,7
3,3.0,Steam Roller,Curly Oden unknown yard rush,20,7
