,Quarter,Tm,Detail,KAN,NOR
0,1.0,Chiefs,Walt Arnold 31 yard pass from Bill Kenney (Nick Lowery kick),7,0
1,1.0,Chiefs,Nick Lowery 48 yard field goal,10,0
2,1.0,Saints,Morten Andersen 50 yard field goal,10,3
3,2.0,Chiefs,Nick Lowery 52 yard field goal,13,3
4,2.0,Chiefs,Carlos Carson 37 yard pass from Bill Kenney (Nick Lowery kick),20,3
5,2.0,Chiefs,Nick Lowery 52 yard field goal,23,3
6,2.0,Chiefs,Nick Lowery 34 yard field goal,26,3
7,3.0,Chiefs,Herman Heard 3 yard rush (Nick Lowery kick),33,3
8,4.0,Saints,Hoby Brenner 5 yard pass from Richard Todd (Morten Andersen kick),33,10
9,4.0,Saints,Wayne Wilson 6 yard pass from Richard Todd (Morten Andersen kick),33,17
10,4.0,Saints,Morten Andersen 36 yard field goal,33,20
11,4.0,Chiefs,Carlos Carson 19 yard pass from Bill Kenney (Nick Lowery kick),40,20
12,4.0,Chiefs,Ethan Horton 19 yard rush (Nick Lowery kick),47,20
13,4.0,Saints,Jeff Groth 56 yard pass from Richard Todd (Morten Andersen kick),47,27
