,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Joe Geri 3 yard rush (Joe Glamp kick),7,0
1,2.0,Giants,Ben Agajanian 38 yard field goal,7,3
2,2.0,Giants,Joe Scott 4 yard rush (Ben Agajanian kick),7,10
3,2.0,Giants,Joe Scott 2 yard rush (Ben Agajanian kick),7,17
4,3.0,Steelers,Carl Samuelson 26 yard fumble return (Joe Glamp kick),14,17
5,4.0,Steelers,Val Jansante 29 yard pass from Jim Finks (Joe Glamp kick),21,17
