,Quarter,Tm,Detail,MIA,BUF
0,1.0,Bills,Steve Freeman 30 yard interception return (John Leypoldt kick),0,7
1,1.0,Bills,O.J. Simpson 26 yard rush,0,13
2,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),7,13
3,2.0,Bills,Bob Chandler 4 yard pass from Joe Ferguson (John Leypoldt kick),7,20
4,2.0,Dolphins,Nat Moore 13 yard pass from Bob Griese (Garo Yepremian kick),14,20
5,2.0,Bills,John Leypoldt 45 yard field goal,14,23
6,3.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),21,23
7,4.0,Bills,Bob Chandler 5 yard pass from Joe Ferguson (John Leypoldt kick),21,30
8,4.0,Dolphins,Jim Mandich 5 yard pass from Bob Griese (Garo Yepremian kick),28,30
9,4.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),35,30
