,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Roosevelt Leaks 5 yard rush (Nick Mike-Mayer kick),7,0
1,1.0,Bills,Joe Cribbs 39 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,0
2,2.0,Patriots,Vagas Ferguson 19 yard rush (John Smith kick),14,7
3,2.0,Bills,Nick Mike-Mayer 29 yard field goal,17,7
4,3.0,Bills,"Safety, Williams tackled Cavanaugh in end zone",19,7
5,4.0,Patriots,John Smith 42 yard field goal,19,10
