,Quarter,Time,Tm,Detail,DEN,DET
0,3.0,14:18,Broncos,Olandis Gary 45 yard rush (Jason Elam kick),7,0
1,3.0,8:25,Broncos,Jason Elam 32 yard field goal,10,0
2,4.0,13:37,Broncos,Dwayne Carswell 1 yard pass from Brian Griese (Jason Elam kick),17,0
3,4.0,1:56,Lions,Herman Moore 13 yard pass from Charlie Batch (Jason Hanson kick),17,7
