,Quarter,Time,Tm,Detail,SDG,OAK
0,1.0,9:40,Raiders,Tim Brown 10 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,1.0,9:13,Chargers,Curtis Conway 67 yard rush (Wade Richey kick),7,7
2,1.0,1:50,Raiders,Jerry Rice 12 yard pass from Rich Gannon (Sebastian Janikowski kick),7,14
3,3.0,12:05,Chargers,Wade Richey 26 yard field goal,10,14
4,3.0,4:37,Raiders,Sebastian Janikowski 24 yard field goal,10,17
5,3.0,4:18,Chargers,Ronney Jenkins 93 yard kickoff return (Wade Richey kick),17,17
6,4.0,14:54,Raiders,Jerry Rice 30 yard pass from Rich Gannon (Sebastian Janikowski kick),17,24
7,4.0,9:57,Chargers,LaDainian Tomlinson 1 yard rush (Wade Richey kick),24,24
8,4.0,2:46,Raiders,Jerry Rice 20 yard pass from Rich Gannon (Sebastian Janikowski kick),24,31
9,4.0,0:55,Raiders,Sebastian Janikowski 25 yard field goal,24,34
