,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Charlie Gogolak 35 yard field goal,0,3
1,1.0,Cowboys,Don Meredith 1 yard rush (Danny Villanueva kick),7,3
2,1.0,Redskins,Charlie Gogolak 33 yard field goal,7,6
3,2.0,Cowboys,Bob Hayes 52 yard pass from Don Meredith (Danny Villanueva kick),14,6
4,3.0,Cowboys,Bob Hayes 95 yard pass from Don Meredith (Danny Villanueva kick),21,6
5,3.0,Redskins,Jerry Smith 4 yard pass from Sonny Jurgensen (Charlie Gogolak kick),21,13
6,3.0,Redskins,Charley Taylor 78 yard pass from Sonny Jurgensen (Charlie Gogolak kick),21,20
7,3.0,Redskins,Charlie Gogolak 11 yard field goal,21,23
8,4.0,Cowboys,Dan Reeves 1 yard rush (Danny Villanueva kick),28,23
9,4.0,Redskins,Charley Taylor 18 yard pass from Sonny Jurgensen (Charlie Gogolak kick),28,30
10,4.0,Cowboys,Danny Villanueva 20 yard field goal,31,30
