,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Anthony Toney 5 yard rush (Paul McFadden kick),0,7
1,1.0,Redskins,George Rogers 3 yard rush (Ali Haji-Sheikh kick),7,7
2,2.0,Redskins,Art Monk 19 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),14,7
3,2.0,Redskins,Darrell Green 26 yard defensive fumble return (Ali Haji-Sheikh kick),21,7
4,2.0,Eagles,Paul McFadden 37 yard field goal,21,10
5,2.0,Eagles,Mike Quick 6 yard pass from Randall Cunningham (Paul McFadden kick),21,17
6,4.0,Eagles,Mike Quick 32 yard pass from Randall Cunningham (Paul McFadden kick),21,24
7,4.0,Redskins,Gary Clark 47 yard pass from Jay Schroeder,27,24
8,4.0,Eagles,Gregg Garrity 40 yard pass from Randall Cunningham (Paul McFadden kick),27,31
