,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,Reggie Johnson 12 yard pass from John Elway (David Treadwell kick),7,0
1,2.0,Chiefs,Jonathan Hayes 12 yard pass from Dave Krieg (Nick Lowery kick),7,7
2,2.0,Chiefs,Charles Mincy 32 yard interception return (Nick Lowery kick),7,14
3,3.0,Chiefs,Dale Carter 36 yard interception return (Nick Lowery kick),7,21
4,3.0,Broncos,David Treadwell 27 yard field goal,10,21
5,4.0,Broncos,David Treadwell 19 yard field goal,13,21
6,4.0,Chiefs,Derrick Thomas defensive fumble recovery in end zone (Nick Lowery kick),13,28
7,4.0,Chiefs,Jonathan Hayes 5 yard pass from Dave Krieg (Nick Lowery kick),13,35
8,4.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),20,35
9,4.0,Chiefs,Christian Okoye 8 yard rush (Nick Lowery kick),20,42
