,Quarter,Tm,Detail,NOR,MIN
0,1.0,Vikings,Dave Osborn 2 yard rush,0,6
1,1.0,Saints,Bill McClard 27 yard field goal,3,6
2,2.0,Saints,Alvin Maxson 1 yard rush,9,6
3,2.0,Vikings,Stu Voigt 4 yard pass from Fran Tarkenton,9,12
4,3.0,Vikings,Fred Cox 25 yard field goal,9,15
5,4.0,Vikings,John Gilliam 13 yard pass from Fran Tarkenton (Fred Cox kick),9,22
6,4.0,Vikings,John Gilliam 22 yard pass from Fran Tarkenton (Fred Cox kick),9,29
