,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,10:54,Saints,Alvin Kamara 15 yard rush (Wil Lutz kick),7,0
1,1.0,1:05,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),14,0
2,2.0,12:10,Saints,A.J. Klein 14 yard interception return (Wil Lutz kick),21,0
3,2.0,6:32,Saints,Tre'Quan Smith 1 yard pass from Drew Brees (Wil Lutz kick),28,0
4,2.0,2:17,Saints,Jared Cook 21 yard pass from Drew Brees (Wil Lutz kick),35,0
5,2.0,0:36,Panthers,Joey Slye 23 yard field goal,35,3
6,3.0,4:36,Saints,Taysom Hill 45 yard pass from Drew Brees (Wil Lutz kick),42,3
7,3.0,0:37,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),42,10
