,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,David Treadwell 41 yard field goal,0,3
1,1.0,Broncos,Tyrone Braxton 34 yard interception return (David Treadwell kick),0,10
2,1.0,Broncos,Sammy Winder 2 yard rush (David Treadwell kick),0,17
3,2.0,Chiefs,Nick Lowery 41 yard field goal,3,17
4,2.0,Chiefs,Kenny Gamble 1 yard rush (Nick Lowery kick),10,17
5,3.0,Chiefs,Nick Lowery 23 yard field goal,13,17
6,3.0,Broncos,Steve Sewell 9 yard pass from John Elway (David Treadwell kick),13,24
7,4.0,Broncos,David Treadwell 29 yard field goal,13,27
8,4.0,Chiefs,Carlos Carson 5 yard pass from Steve DeBerg (Nick Lowery kick),20,27
9,4.0,Broncos,Randy Robbins 18 yard interception return (David Treadwell kick),20,34
