,Quarter,Tm,Detail,WAS,BOS
0,1.0,Yanks,Mike Micka 40 yard interception return,0,6
1,1.0,Redskins,Dick Todd 8 yard rush (Dick Poillon kick),7,6
2,3.0,Redskins,Eddie Saenz 18 yard pass from Sammy Baugh (Dick Poillon kick),14,6
