,Quarter,Tm,Detail,PHO,PHI
0,1.0,Eagles,Ron Johnson 11 yard pass from Randall Cunningham (Luis Zendejas kick),0,7
1,1.0,Cardinals,J.T. Smith 7 yard pass from Cliff Stoudt (Al Del Greco kick),7,7
2,2.0,Cardinals,Earl Ferrell 17 yard rush (Al Del Greco kick),14,7
3,3.0,Eagles,Luis Zendejas 28 yard field goal,14,10
4,3.0,Eagles,Cris Carter 8 yard pass from Randall Cunningham (Luis Zendejas kick),14,17
5,3.0,Eagles,Ron Johnson 9 yard pass from Matt Cavanaugh (Luis Zendejas kick),14,24
6,4.0,Cardinals,Earl Ferrell 1 yard rush (Al Del Greco kick),21,24
7,4.0,Eagles,Keith Byars 4 yard rush (Luis Zendejas kick),21,31
