,Quarter,Tm,Detail,NOR,DAL
0,1,Cowboys,Rafael Septien 37 yard field goal,0,3
1,2,Saints,Tyrone Young 36 yard pass from Richard Todd (Morten Andersen kick),7,3
2,2,Cowboys,Rafael Septien 27 yard field goal,7,6
3,2,Saints,Hokie Gajan 62 yard rush (Morten Andersen kick),14,6
4,2,Saints,Morten Andersen 49 yard field goal,17,6
5,3,Saints,Morten Andersen 50 yard field goal,20,6
6,3,Saints,Dirt Winston 43 yard interception return (Morten Andersen kick),27,6
7,4,Cowboys,Tony Dorsett 3 yard rush (Rafael Septien kick),27,13
8,4,Cowboys,Mike Renfro 12 yard pass from Danny White (Rafael Septien kick),27,20
9,4,Cowboys,Jim Jeffcoat defensive fumble recovery in end zone (Rafael Septien kick),27,27
10,OT,Cowboys,Rafael Septien 41 yard field goal,27,30
