,Quarter,Time,Tm,Detail,SFO,CHI
0,1.0,13:01,Bears,Bernard Berrian 49 yard pass from Craig Krenzel (Paul Edinger kick),0,7
1,1.0,5:26,49ers,Dwaine Carpenter 80 yard defensive fumble return (Todd Peterson kick),7,7
2,1.0,0:40,49ers,Todd Peterson 48 yard field goal,10,7
3,2.0,13:27,Bears,Paul Edinger 52 yard field goal,10,10
4,2.0,6:20,49ers,Todd Peterson 51 yard field goal,13,10
5,2.0,4:35,Bears,Paul Edinger 45 yard field goal,13,13
6,4.0,13:59,Bears,Paul Edinger 27 yard field goal,13,16
7,4.0,3:52,Bears,Nathan Vasher 71 yard interception return (Paul Edinger kick),13,23
