,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Craig James 2 yard rush (Tony Franklin kick),7,0
1,2.0,Patriots,Tony Franklin 31 yard field goal,10,0
2,2.0,Patriots,Robert Weathers 16 yard rush (Tony Franklin kick),17,0
3,3.0,Bills,Scott Norwood 26 yard field goal,17,3
4,3.0,Patriots,Tony Franklin 27 yard field goal,20,3
5,4.0,Patriots,Tony Franklin 26 yard field goal,23,3
