,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Hugh Taylor 24 yard pass from Sammy Baugh,6,0
1,2.0,Steelers,Jerry Shipkey 2 yard rush (Joe Glamp kick),6,7
2,2.0,Steelers,Jerry Nuzum 27 yard rush (Joe Glamp kick),6,14
3,3.0,Redskins,Dan Sandifer 35 yard pass from Sammy Baugh (Dick Poillon kick),13,14
4,3.0,Redskins,Hugh Taylor 58 yard pass from Sammy Baugh (Dick Poillon kick),20,14
5,4.0,Redskins,Rob Goode 1 yard rush (Dick Poillon kick),27,14
