,Quarter,Time,Tm,Detail,NYJ,KAN
0,1.0,,Chiefs,Tony Richardson 2 yard rush (Pete Stoyanovich kick),0,7
1,2.0,,Jets,John Hall 20 yard field goal,3,7
2,2.0,,Jets,Dwayne Gordon 31 yard interception return (John Hall kick),10,7
3,3.0,,Chiefs,Pete Stoyanovich 42 yard field goal,10,10
4,4.0,,Chiefs,Donnell Bennett 1 yard rush (Pete Stoyanovich kick),10,17
5,4.0,,Jets,Kyle Brady 20 yard pass from Vinny Testaverde (John Hall kick),17,17
6,4.0,,Jets,John Hall 32 yard field goal,20,17
