,Quarter,Tm,Detail,CRD,DET
0,1.0,Cardinals,Mario Tonelli 1 yard rush (Lou Zontini kick),7,0
1,2.0,Lions,Howie Weiss 1 yard rush (Whizzer White kick),7,7
2,2.0,Lions,Dave Diehl 16 yard blocked punt return,7,13
3,2.0,Lions,Cotton Price 3 yard rush (Cotton Price kick),7,20
4,3.0,Cardinals,Johnny Hall 90 yard kickoff return (Lou Zontini kick),14,20
5,3.0,Lions,Whizzer White 2 yard rush (Chuck Hanneman kick),14,27
6,4.0,Lions,Howie Weiss 1 yard rush (Cotton Price kick),14,34
7,4.0,Lions,Tony Calvelli 34 yard interception return (Cotton Price kick),14,41
8,4.0,Lions,"Safety, Kellogg tackled in end zone",14,43
