,Quarter,Tm,Detail,RAM,CIN
0,2.0,Rams,Eric Dickerson 6 yard rush (Mike Lansford kick),7,0
1,3.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),7,7
2,3.0,Rams,Ron Brown 52 yard pass from Jeff Kemp (Mike Lansford kick),14,7
3,4.0,Rams,Mike Lansford 29 yard field goal,17,7
4,4.0,Bengals,Cris Collinsworth 10 yard pass from Ken Anderson (Jim Breech kick),17,14
5,4.0,Rams,Mike Guman 43 yard kickoff return (Mike Lansford kick),24,14
