,Quarter,Tm,Detail,WAS,PHI
0,1.0,Redskins,Bill Dudley 15 yard field goal,3,0
1,2.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),3,7
2,2.0,Eagles,Pete Pihos 39 yard pass from Tommy Thompson (Cliff Patton kick),3,14
3,4.0,Eagles,Joe Muha 19 yard interception return (Cliff Patton kick),3,21
4,4.0,Eagles,John Green 2 yard fumble return (Cliff Patton kick),3,28
5,4.0,Eagles,Toy Ledbetter 18 yard pass from Bill Mackrides (Cliff Patton kick),3,35
