,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Ron Brown 98 yard kickoff return (Mike Lansford kick),0,7
1,2.0,Packers,Paul Coffman 5 yard pass from Lynn Dickey (Al Del Greco kick),7,7
2,2.0,Rams,Ron Brown 86 yard kickoff return (Mike Lansford kick),7,14
3,2.0,Packers,Al Del Greco 38 yard field goal,10,14
4,3.0,Packers,James Lofton 21 yard pass from Lynn Dickey (Al Del Greco kick),17,14
5,3.0,Rams,Eric Dickerson 14 yard rush (Mike Lansford kick),17,21
6,4.0,Rams,Ron Brown 39 yard pass from Dieter Brock (Mike Lansford kick),17,28
7,4.0,Rams,Mike Lansford 43 yard field goal,17,31
8,4.0,Rams,Mike Lansford 32 yard field goal,17,34
