,Quarter,Tm,Detail,CIN,BAL
0,1.0,Colts,Ray Butler 17 yard pass from Mike Pagel (Mike Wood kick),0,7
1,2.0,Bengals,Steve Kreider 24 yard pass from Ken Anderson,6,7
2,2.0,Colts,Mike Wood 33 yard field goal,6,10
3,3.0,Bengals,M.L. Harris 1 yard pass from Ken Anderson (Jim Breech kick),13,10
4,4.0,Bengals,M.L. Harris 2 yard pass from Ken Anderson (Jim Breech kick),20,10
5,4.0,Colts,Pat Beach 4 yard pass from Mike Pagel (Mike Wood kick),20,17
