,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Jim Martin 45 yard field goal,0,3
1,2.0,Packers,Jerry Kramer 46 yard field goal,3,3
2,2.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),10,3
3,2.0,Packers,Marv Fleming 11 yard pass from John Roach (Jerry Kramer kick),17,3
4,3.0,Packers,Jerry Kramer 37 yard field goal,20,3
5,3.0,Colts,Lenny Moore 13 yard pass from Johnny Unitas (Jim Martin kick),20,10
6,4.0,Colts,Jim Martin 33 yard field goal,20,13
7,4.0,Colts,John Mackey 58 yard pass from Johnny Unitas (Jim Martin kick),20,20
8,4.0,Packers,Elijah Pitts 34 yard rush (Jerry Kramer kick),27,20
9,4.0,Packers,Jim Taylor 16 yard rush (Jerry Kramer kick),34,20
