,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Bill Hewitt 28 yard rush,0,6
1,2.0,Bears,Keith Molesworth 5 yard pass from Bronko Nagurski (Tiny Engebretsen kick),0,13
2,2.0,Bears,George Corbett 50 yard pass from John Doehring (Cookie Tackwell kick),0,20
3,3.0,Bears,John Doehring 1 yard rush (Luke Johnsos kick),0,27
4,3.0,Bears,Luke Johnsos 20 yard interception return (Bill Buckler kick),0,34
