,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Derrick Fenner 1 yard rush (John Kasay kick),0,7
1,2.0,Chargers,John Carney 29 yard field goal,3,7
2,2.0,Seahawks,John Kasay 51 yard field goal,3,10
3,2.0,Chargers,John Carney 24 yard field goal,6,10
4,3.0,Chargers,John Carney 36 yard field goal,9,10
5,4.0,Seahawks,Mike Tice 5 yard pass from Dave Krieg (John Kasay kick),9,17
6,4.0,Seahawks,John Kasay 54 yard field goal,9,20
