,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Dave Logan 23 yard pass from Brian Sipe,0,6
1,1.0,Browns,Ozzie Newsome 52 yard pass from Brian Sipe (Don Cockroft kick),0,13
2,1.0,Browns,Thom Darden 39 yard interception return (Don Cockroft kick),0,20
3,1.0,Cowboys,Tony Hill 48 yard pass from Roger Staubach (Rafael Septien kick),7,20
4,4.0,Browns,Mike Pruitt 2 yard rush,7,26
