,Quarter,Time,Tm,Detail,OAK,KAN
0,1,13:20,Raiders,Sebastian Janikowski 28 yard field goal,3,0
1,1,3:06,Chiefs,Ryan Succop 23 yard field goal,3,3
2,3,8:52,Raiders,Denarius Moore 61 yard pass from Carson Palmer (Sebastian Janikowski kick),10,3
3,3,3:30,Chiefs,Ryan Succop 20 yard field goal,10,6
4,4,2:57,Raiders,Sebastian Janikowski 31 yard field goal,13,6
5,4,1:02,Chiefs,Dwayne Bowe 3 yard pass from Kyle Orton (Ryan Succop kick),13,13
6,OT,12:47,Raiders,Sebastian Janikowski 36 yard field goal,16,13
