,Quarter,Tm,Detail,SEA,NWE
0,2.0,Patriots,Jason Staurovsky 34 yard field goal,0,3
1,2.0,Patriots,Jason Staurovsky 22 yard field goal,0,6
2,3.0,Seahawks,Ray Butler 27 yard pass from Dave Krieg (Norm Johnson kick),7,6
3,3.0,Patriots,Bob Perryman 1 yard rush (Jason Staurovsky kick),7,13
