,Quarter,Time,Tm,Detail,ARI,STL
0,1.0,12:39,Rams,Lance Kendricks 7 yard pass from Sam Bradford (Greg Zuerlein kick),0,7
1,1.0,3:15,Cardinals,Jay Feely 35 yard field goal,3,7
2,2.0,10:45,Rams,Greg Zuerlein 53 yard field goal,3,10
3,4.0,11:49,Rams,Chris Givens 51 yard pass from Sam Bradford (Greg Zuerlein kick),3,17
