,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Barry Sanders 26 yard rush (Jason Hanson kick),0,7
1,1.0,Lions,George Jamison 35 yard interception return (Jason Hanson kick),0,14
2,2.0,Lions,Jason Hanson 44 yard field goal,0,17
3,2.0,Lions,Herman Moore 21 yard pass from Rodney Peete (Jason Hanson kick),0,24
4,2.0,Falcons,Norm Johnson 54 yard field goal,3,24
5,3.0,Falcons,Norm Johnson 20 yard field goal,6,24
6,3.0,Lions,Jason Hanson 37 yard field goal,6,27
7,4.0,Falcons,Andre Rison 32 yard pass from Chris Miller (Norm Johnson kick),13,27
8,4.0,Lions,Jason Hanson 37 yard field goal,13,30
