,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Nick Lowery 25 yard field goal,0,3
1,2.0,Chiefs,Christian Okoye 43 yard rush (Nick Lowery kick),0,10
2,3.0,Chargers,Vince Abbott 32 yard field goal,3,10
3,4.0,Chiefs,Nick Lowery 29 yard field goal,3,13
4,4.0,Chargers,Gary Anderson 34 yard pass from Dan Fouts (Vince Abbott kick),10,13
5,4.0,Chargers,Vince Abbott 33 yard field goal,13,13
6,4.0,Chiefs,Paul Palmer 95 yard kickoff return (Nick Lowery kick),13,20
