,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Gerry Ellis 40 yard rush (Al Del Greco kick),7,0
1,1.0,Packers,Paul Coffman 44 yard pass from Lynn Dickey (Al Del Greco kick),14,0
2,2.0,Lions,David Lewis 10 yard pass from Gary Danielson (Eddie Murray kick),14,7
3,2.0,Packers,Eddie Lee Ivery 7 yard pass from Lynn Dickey (Al Del Greco kick),21,7
4,2.0,Lions,David Lewis 21 yard pass from Gary Danielson (Eddie Murray kick),21,14
5,2.0,Lions,Eddie Murray 32 yard field goal,21,17
6,3.0,Lions,James Jones 1 yard rush (Eddie Murray kick),21,24
7,4.0,Lions,Jeff Chadwick 21 yard pass from Gary Danielson (Eddie Murray kick),21,31
8,4.0,Packers,Phil Epps 4 yard pass from Randy Wright (Al Del Greco kick),28,31
