,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,,Patriots,Matt Bahr 48 yard field goal,0,3
1,2.0,,Dolphins,Pete Stoyanovich 44 yard field goal,3,3
2,2.0,,Dolphins,Pete Stoyanovich 50 yard field goal,6,3
3,2.0,,Dolphins,Keith Byars 1 yard rush (Pete Stoyanovich kick),13,3
4,3.0,,Dolphins,Keith Byars 7 yard pass from Dan Marino (Pete Stoyanovich kick),20,3
5,4.0,,Dolphins,Pete Stoyanovich 48 yard field goal,23,3
