,Quarter,Tm,Detail,DAL,MIN
0,1.0,Vikings,Fuad Reveiz 19 yard field goal,0,3
1,1.0,Cowboys,Eddie Murray 51 yard field goal,3,3
2,1.0,Vikings,Fuad Reveiz 21 yard field goal,3,6
3,2.0,Cowboys,Michael Irvin 10 yard pass from Troy Aikman (Eddie Murray kick),10,6
4,2.0,Cowboys,Emmitt Smith 4 yard rush (Eddie Murray kick),17,6
5,2.0,Cowboys,Eddie Murray 52 yard field goal,20,6
6,3.0,Cowboys,Daryl Johnston 1 yard rush (Eddie Murray kick),27,6
7,3.0,Vikings,Scottie Graham 1 yard rush (Fuad Reveiz kick),27,13
8,4.0,Cowboys,Eddie Murray 46 yard field goal,30,13
9,4.0,Cowboys,Lincoln Coleman 1 yard rush (Eddie Murray kick),37,13
10,4.0,Vikings,Anthony Carter 9 yard pass from Sean Salisbury (Fuad Reveiz kick),37,20
