,Quarter,Tm,Detail,CHI,NYG
0,1.0,Bears,Ken Kavanaugh 21 yard pass from Sid Luckman (Frank Maznicki kick),7,0
1,1.0,Bears,Dante Magnani 19 yard interception return (Frank Maznicki kick),14,0
2,1.0,Giants,Frank Liebel 38 yard pass from Frank Filchock (Ken Strong kick),14,7
3,3.0,Giants,Steve Filipowicz 5 yard pass from Frank Filchock (Ken Strong kick),14,14
4,4.0,Bears,Sid Luckman 19 yard rush (Frank Maznicki kick),21,14
5,4.0,Bears,Frank Maznicki 26 yard field goal,24,14
