,Quarter,Tm,Detail,IND,MIA
0,1.0,Dolphins,Pete Stoyanovich 18 yard field goal,0,3
1,1.0,Colts,Dean Biasucci 36 yard field goal,3,3
2,2.0,Dolphins,Mark Clayton 13 yard pass from Dan Marino (Pete Stoyanovich kick),3,10
3,2.0,Dolphins,"Safety, ball snapped out of end zone",3,12
4,3.0,Dolphins,Andre Brown 10 yard pass from Dan Marino (Pete Stoyanovich kick),3,19
5,4.0,Colts,Dean Biasucci 33 yard field goal,6,19
6,4.0,Colts,Andre Rison 7 yard pass from Jack Trudeau (Dean Biasucci kick),13,19
