,Quarter,Tm,Detail,PIT,NYJ
0,1.0,Steelers,Louis Lipps 6 yard pass from David Woodley (Gary Anderson kick),7,0
1,2.0,Jets,Wesley Walker 14 yard pass from Pat Ryan (Pat Leahy kick),7,7
2,2.0,Steelers,Gary Anderson 32 yard field goal,10,7
3,2.0,Steelers,Gary Anderson 43 yard field goal,13,7
4,3.0,Jets,Bobby Humphery 97 yard kickoff return (Pat Leahy kick),13,14
5,3.0,Steelers,Weegie Thompson 3 yard pass from David Woodley (Gary Anderson kick),20,14
6,3.0,Jets,Pat Leahy 52 yard field goal,20,17
7,4.0,Steelers,Gary Anderson 27 yard field goal,23,17
