,Quarter,Time,Tm,Detail,OAK,LAC
0,1.0,11:07,Raiders,Hunter Renfrow 56 yard pass from Derek Carr (Daniel Carlson kick),7,0
1,2.0,1:57,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),7,7
2,2.0,0:14,Raiders,Derek Carr 3 yard rush (Daniel Carlson kick),14,7
3,3.0,6:16,Raiders,DeAndre Washington 5 yard rush (Daniel Carlson kick),21,7
4,3.0,1:08,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),21,14
5,4.0,8:34,Raiders,Daniel Carlson 48 yard field goal,24,14
6,4.0,1:33,Chargers,Michael Badgley 27 yard field goal,24,17
