,Quarter,Time,Tm,Detail,BUF,HOU
0,1.0,0:36,Texans,Owen Daniels 39 yard pass from Matt Schaub (Shayne Graham kick),0,7
1,2.0,1:42,Bills,Rian Lindell 22 yard field goal,3,7
2,2.0,0:05,Bills,Rian Lindell 38 yard field goal,6,7
3,3.0,12:11,Texans,Arian Foster 3 yard rush (Shayne Graham kick),6,14
4,3.0,7:41,Bills,Rian Lindell 39 yard field goal,9,14
5,4.0,11:25,Texans,Garrett Graham 5 yard pass from Matt Schaub (Shayne Graham kick),9,21
