,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Benny Ricardo 45 yard field goal,0,3
1,1.0,Saints,Benny Ricardo 46 yard field goal,0,6
2,2.0,Saints,George Rogers 5 yard rush (Benny Ricardo kick),0,13
3,2.0,Saints,Benny Ricardo 34 yard field goal,0,16
4,2.0,Rams,Frank Corral 40 yard field goal,3,16
5,3.0,Rams,Preston Dennard 9 yard pass from Pat Haden (Frank Corral kick),10,16
6,4.0,Saints,Wes Chandler 23 yard pass from Bobby Scott (Benny Ricardo kick),10,23
7,4.0,Rams,Preston Dennard 15 yard pass from Pat Haden (Frank Corral kick),17,23
