,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Sal Rosato 2 yard rush (Dick Poillon kick),0,7
1,1.0,Redskins,Dick Poillon 28 yard field goal,0,10
2,2.0,Redskins,Sal Rosato 4 yard rush (Dick Poillon kick),0,17
3,2.0,Redskins,Ted Lapka fumble recovery in end zone (Dick Poillon kick),0,24
4,3.0,Eagles,Ernie Steele 1 yard rush (Augie Lio kick),7,24
5,3.0,Eagles,Bosh Pritchard 45 yard pass from Tommy Thompson (Augie Lio kick),14,24
6,4.0,Eagles,Gil Steinke 7 yard pass from Tommy Thompson (Augie Lio kick),21,24
7,4.0,Eagles,Jack Ferrante 30 yard pass from Tommy Thompson (Augie Lio kick),28,24
