,Quarter,Time,Tm,Detail,DEN,BUF
0,1.0,,Bills,Steve Christie 36 yard field goal,0,3
1,2.0,,Broncos,Anthony Miller 11 yard pass from John Elway (Jason Elam kick),7,3
2,2.0,,Bills,Thurman Thomas 16 yard rush (Steve Christie kick),7,10
3,2.0,0:26,Bills,Thurman Thomas 27 yard rush (Steve Christie kick),7,17
4,3.0,0:26,Bills,Carwell Gardner 3 yard rush (Steve Christie kick),7,24
5,3.0,0:26,Broncos,Leonard Russell 2 yard rush (Jason Elam kick),14,24
6,3.0,0:26,Broncos,Jason Elam 28 yard field goal,17,24
7,4.0,0:26,Bills,Steve Christie 28 yard field goal,17,27
8,4.0,0:26,Broncos,Jason Elam 43 yard field goal,20,27
