,Quarter,Time,Tm,Detail,GNB,MIN
0,2.0,14:53,Vikings,Jerick McKinnon 27 yard pass from Case Keenum (Kai Forbath kick),0,7
1,2.0,10:40,Packers,Davante Adams 14 yard pass from Brett Hundley (Mason Crosby kick),7,7
2,2.0,7:22,Vikings,Jerick McKinnon 3 yard rush (Kai Forbath kick),7,14
3,2.0,1:51,Packers,Mason Crosby 26 yard field goal,10,14
4,3.0,9:35,Vikings,Kai Forbath 36 yard field goal,10,17
5,4.0,14:57,Vikings,Kai Forbath 34 yard field goal,10,20
6,4.0,10:47,Vikings,Kai Forbath 53 yard field goal,10,23
