,Quarter,Time,Tm,Detail,JAX,NYJ
0,1.0,,Jets,Wayne Chrebet 11 yard pass from Boomer Esiason (Nick Lowery kick),0,7
1,2.0,,Jets,Nick Lowery 21 yard field goal,0,10
2,2.0,,Jaguars,Mike Hollis 34 yard field goal,3,10
3,2.0,,Jets,Nick Lowery 48 yard field goal,3,13
4,3.0,,Jets,Kyle Brady 20 yard pass from Boomer Esiason (Nick Lowery kick),3,20
5,3.0,,Jets,Charles Wilson 15 yard pass from Boomer Esiason (Nick Lowery kick),3,27
6,4.0,,Jaguars,Ernest Givins 7 yard pass from Mark Brunell (Mike Hollis kick),10,27
