,Quarter,Tm,Detail,CRD,PIT
0,2.0,Steelers,Jimmy Orr 36 yard pass from Bobby Layne (Tom Miner kick),0,7
1,2.0,Cardinals,Ollie Matson 92 yard kickoff return (Bobby Joe Conrad kick),7,7
2,2.0,Steelers,Tom Miner 13 yard field goal,7,10
3,2.0,Steelers,Bobby Layne 17 yard rush (Tom Miner kick),7,17
4,3.0,Cardinals,Bobby Watkins 48 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),14,17
5,3.0,Steelers,Jimmy Orr 17 yard pass from Bobby Layne (Tom Miner kick),14,24
6,3.0,Cardinals,Ollie Matson 1 yard rush (Bobby Joe Conrad kick),21,24
7,4.0,Steelers,Jimmy Orr 72 yard pass from Tom Tracy (Tom Miner kick),21,31
8,4.0,Steelers,Billy Reynolds 5 yard rush (Tom Miner kick),21,38
