,Quarter,Tm,Detail,ATL,PHO
0,1.0,Cardinals,Earl Ferrell 1 yard rush (Al Del Greco kick),0,7
1,1.0,Cardinals,Earl Ferrell 6 yard rush (Al Del Greco kick),0,14
2,2.0,Falcons,Paul McFadden 37 yard field goal,3,14
3,2.0,Cardinals,Ron Wolfley 5 yard rush (Al Del Greco kick),3,21
4,2.0,Falcons,Paul McFadden 37 yard field goal,6,21
5,3.0,Cardinals,Al Del Greco 50 yard field goal,6,24
6,3.0,Falcons,Keith Jones 14 yard rush (Paul McFadden kick),13,24
7,4.0,Cardinals,Earl Ferrell 3 yard rush (Al Del Greco kick),13,31
8,4.0,Falcons,John Settle 16 yard pass from Chris Miller (Paul McFadden kick),20,31
9,4.0,Cardinals,Al Del Greco 22 yard field goal,20,34
