,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Tommy Wilson 40 yard pass from Billy Wade (Danny Villanueva kick),0,7
1,1.0,Packers,Max McGee 57 yard pass from Bart Starr (Paul Hornung kick),7,7
2,2.0,Packers,Boyd Dowler 91 yard pass from Bart Starr (Paul Hornung kick),14,7
3,2.0,Packers,Paul Winslow special teams fumble recovery in end zone (Paul Hornung kick),21,7
4,2.0,Packers,Max McGee 40 yard pass from Paul Hornung (Paul Hornung kick),28,7
5,4.0,Rams,Jon Arnett 1 yard pass from Billy Wade (Les Richter kick),28,14
6,4.0,Packers,Paul Hornung 1 yard rush (Paul Hornung kick),35,14
7,4.0,Rams,Carroll Dale 8 yard pass from Billy Wade (Les Richter kick),35,21
