,Quarter,Tm,Detail,RAI,BUF
0,1.0,Bills,James Lofton 13 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,1.0,Raiders,Jeff Jaeger 41 yard field goal,3,7
2,1.0,Bills,Thurman Thomas 12 yard rush (Scott Norwood kick),3,14
3,1.0,Bills,Darryl Talley 27 yard interception return (Scott Norwood kick),3,21
4,2.0,Bills,Kenneth Davis 1 yard rush,3,27
5,2.0,Bills,Kenneth Davis 3 yard rush (Scott Norwood kick),3,34
6,2.0,Bills,James Lofton 8 yard pass from Jim Kelly (Scott Norwood kick),3,41
7,4.0,Bills,Kenneth Davis 1 yard rush (Scott Norwood kick),3,48
8,4.0,Bills,Scott Norwood 39 yard field goal,3,51
