,Quarter,Tm,Detail,MIL,FRN
0,1,Yellow Jackets,Tex Hamer 4 yard rush (Russ Stein kick),0,7
1,2,Badgers,Dinger Doane 8 yard rush,6,7
2,3,Yellow Jackets,Tex Hamer 2 yard rush (Russ Stein kick),6,14
3,4,Yellow Jackets,Jack Storer 3 yard rush (Russ Stein kick),6,21
