,Quarter,Time,Tm,Detail,GNB,PHI
0,1.0,,Packers,Reggie Cobb 37 yard pass from Brett Favre (Chris Jacke kick),7,0
1,2.0,,Eagles,Eddie Murray 26 yard field goal,7,3
2,3.0,,Eagles,Randall Cunningham 1 yard rush (Eddie Murray kick),7,10
3,3.0,,Eagles,Eddie Murray 26 yard field goal,7,13
