,Quarter,Tm,Detail,CHI,PIT
0,1.0,Bears,Neal Anderson 2 yard rush (Kevin Butler kick),7,0
1,2.0,Bears,Kevin Butler 39 yard field goal,10,0
2,2.0,Bears,Brad Muster 20 yard pass from Jim Harbaugh (Kevin Butler kick),17,0
3,2.0,Bears,Kevin Butler 35 yard field goal,20,0
