,Quarter,Time,Tm,Detail,TAM,DAL
0,1.0,9:18,Buccaneers,Mike Alstott 1 yard rush (Matt Bryant kick),7,0
1,1.0,1:09,Cowboys,Terry Glenn 30 yard pass from Tony Romo (Mike Vanderjagt kick),7,7
2,2.0,11:33,Cowboys,Terry Glenn 2 yard pass from Tony Romo (Mike Vanderjagt kick),7,14
3,2.0,6:38,Buccaneers,Matt Bryant 46 yard field goal,10,14
4,2.0,0:30,Cowboys,Marion Barber III 1 yard pass from Tony Romo (Mike Vanderjagt kick),10,21
5,3.0,9:55,Cowboys,Marion Barber III 2 yard pass from Tony Romo (Mike Vanderjagt kick),10,28
6,3.0,6:30,Cowboys,Terrell Owens 7 yard pass from Tony Romo (Mike Vanderjagt kick),10,35
7,4.0,10:00,Cowboys,Mike Vanderjagt 22 yard field goal,10,38
