,Quarter,Time,Tm,Detail,SDG,NYJ
0,1.0,,Jets,Nick Lowery 38 yard field goal,0,3
1,2.0,,Jets,Nick Lowery 30 yard field goal,0,6
2,2.0,,Chargers,Mark Seay 2 yard pass from Stan Humphries (John Carney kick),7,6
3,3.0,,Chargers,Tony Martin 44 yard pass from Stan Humphries (John Carney kick),14,6
4,4.0,5:12,Chargers,Tony Martin 60 yard pass from Stan Humphries (John Carney kick),21,6
