,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Raul Allegre 24 yard field goal,3,0
1,1.0,Giants,Mark Bavaro 30 yard pass from Phil Simms (Raul Allegre kick),10,0
2,2.0,Giants,Raul Allegre 42 yard field goal,13,0
3,2.0,Giants,Raul Allegre 30 yard field goal,16,0
4,3.0,Redskins,Ali Haji-Sheikh 41 yard field goal,16,3
5,3.0,Giants,Raul Allegre 45 yard field goal,19,3
6,3.0,Redskins,Gary Clark 34 yard pass from Jay Schroeder,19,9
7,4.0,Redskins,Keith Griffin 6 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),19,16
8,4.0,Redskins,Ricky Sanders 28 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),19,23
