,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,Henry Ellard 80 yard punt return (Mike Lansford kick),7,0
1,1.0,Rams,Mike Lansford 33 yard field goal,10,0
2,1.0,Eagles,Paul McFadden 50 yard field goal,10,3
3,2.0,Eagles,Paul McFadden 45 yard field goal,10,6
4,4.0,Rams,Charles White 17 yard rush (Mike Lansford kick),17,6
