,Quarter,Tm,Detail,MIN,GNB
0,2.0,Packers,Jessie Clark 5 yard pass from Lynn Dickey (Al Del Greco kick),0,7
1,2.0,Vikings,Mike Jones 14 yard pass from Tommy Kramer (Jan Stenerud kick),7,7
2,3.0,Packers,Tim Lewis 6 yard defensive fumble return (Al Del Greco kick),7,14
3,3.0,Vikings,Leo Lewis 43 yard pass from Tommy Kramer (Jan Stenerud kick),14,14
4,4.0,Packers,Al Del Greco 45 yard field goal,14,17
5,4.0,Vikings,Jan Stenerud 18 yard field goal,17,17
6,4.0,Packers,Al Del Greco 22 yard field goal,17,20
